ID;Name;URL;Suggested URL;Link position;Has equal domain
000000026;Federal Statistical Office;https://www.destatis.de;https://en.wikipedia.org/wiki/Federal_Statistical_Office_of_Germany;1.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;https://www.bfs.admin.ch/bfs/en/home.html;2.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;https://eng.gks.ru/;3.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;https://ec.europa.eu/eurostat/web/links;4.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;http://ecsocman.hse.ru/text/21079785/;5.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;https://knoema.com/atlas/sources/DESTATIS;6.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;https://wn.com/Federal_Statistical_Office_Of_Germany;7.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;http://ghdx.healthdata.org/organizations/federal-statistical-office-germany;8.0;0.0
000000026;Federal Statistical Office;https://www.destatis.de;https://ycharts.com/indicators/sources/federal_statistical_office_of_germany;9.0;0.0
000000029;Statistics Office;;https://www.ons.gov.uk/;0.0;0.0
000000029;Statistics Office;;https://en.wikipedia.org/wiki/Office_for_National_Statistics;1.0;0.0
000000029;Statistics Office;;https://www.cso.ie/;2.0;0.0
000000029;Statistics Office;;https://ec.europa.eu/eurostat/web/links;3.0;0.0
000000029;Statistics Office;;https://www.facebook.com/ONS;4.0;0.0
000000029;Statistics Office;;https://en.wikipedia.org/wiki/National_Statistics_Office;5.0;0.0
000000029;Statistics Office;;https://www.gov.uk/government/organisations/office-for-national-statistics;6.0;0.0
000000029;Statistics Office;;https://twitter.com/ons;7.0;0.0
000000029;Statistics Office;;https://eng.gks.ru/;8.0;0.0
000000029;Statistics Office;;https://context.reverso.net/%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4/%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9-%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9/national+statistics+office;9.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;https://www.stat.gl/default.asp?lang=en;0.0;1.0
000000031;Statistics Greenland;http://www.stat.gl/;https://en.wikipedia.org/wiki/Statistics_Greenland;1.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;http://statistics.greenland.com/;2.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;https://www.worldometers.info/world-population/greenland-population/;3.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;https://worldpopulationreview.com/countries/greenland-population;4.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;https://www.worlddata.info/america/greenland/index.php;5.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;http://www.tourismstat.gl/;6.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;https://www.statista.com/statistics/805672/population-of-greenland/;7.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;https://countrymeters.info/en/Greenland;8.0;0.0
000000031;Statistics Greenland;http://www.stat.gl/;http://ghdx.healthdata.org/organizations/statistics-greenland;9.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://www.statistics.gr/en/home/;0.0;1.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://ec.europa.eu/eurostat/cros/content/hellenic-statistical-authority-greece_en;1.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://www.youtube.com/channel/UCWVO-II2CanOSBavZbI6X9g;2.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://www.instagram.com/statistics.gr/;3.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://www.apollo.io/companies/Hellenic-Statistical-Authority--ELSTAT-/5d0a2afcf65125e4105e36b0;4.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://www.elta.gr/;5.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://geodata.gov.gr/en/organization/elstat;6.0;0.0
