Has equal domain;ID;Link position;Name;Suggested URL;URL
1.0;000000015;0.0;Departament d´Estadística;https://www.estadistica.ad/;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000015;1.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp?lang=4;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000015;2.0;Departament d´Estadística;https://guia.barcelona.cat/es/detall/departament-d-estadistica_92086025777.html;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000015;3.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/banc_dades4.asp?lang=4&codi_tema=3&codi_divisio=1098&codi_subtemes=155;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000015;4.0;Departament d´Estadística;http://www.ub.edu/stat/angles/est_ing_index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000015;5.0;Departament d´Estadística;http://educacio.gencat.cat/portal/page/portal/Educacio/PCentrePrivat/PCPIntercanviDades/PCPEstadisticaEnsenyament;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000015;6.0;Departament d´Estadística;http://www.ub.edu/stat/index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000015;7.0;Departament d´Estadística;http://www.ub.edu/stat/personal/cuadras/cuad.html;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000015;8.0;Departament d´Estadística;https://www.idescat.cat/;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000015;9.0;Departament d´Estadística;https://www.idescat.cat/?lang=es;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000016;0.0;Departament d´Estadística;https://www.estadistica.ad/;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000016;1.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp?lang=4;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000016;2.0;Departament d´Estadística;https://guia.barcelona.cat/es/detall/departament-d-estadistica_92086025777.html;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000016;3.0;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/banc_dades4.asp?lang=4&codi_tema=3&codi_divisio=1098&codi_subtemes=155;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000016;4.0;Departament d´Estadística;http://www.ub.edu/stat/angles/est_ing_index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
